Date;VIX
10/01/2020;22.96
13/01/2020;25.63
14/01/2020;26.2
15/01/2020;26.1
16/01/2020;25.48
17/01/2020;25.75
20/01/2020;#N/A
21/01/2020;33.27
22/01/2020;16.31
23/01/2020;16.66
24/01/2020;17.86
27/01/2020;20.45
28/01/2020;19.22
29/01/2020;19.06
30/01/2020;19.42
31/01/2020;22.12
03/02/2020;21.96
04/02/2020;20.92
05/02/2020;23.24
06/02/2020;20.91
07/02/2020;21
10/02/2020;20.63
11/02/2020;20.48
12/02/2020;19.44
13/02/2020;19.62
14/02/2020;20.02
17/02/2020;#N/A
18/02/2020;19.74
19/02/2020;19.26
20/02/2020;19.82
21/02/2020;21.68
24/02/2020;26.34
25/02/2020;31.68
26/02/2020;30.7
27/02/2020;43.62
28/02/2020;51.72
02/03/2020;36.44
03/03/2020;45.64
04/03/2020;34.07
05/03/2020;45.66
06/03/2020;51.43
09/03/2020;54.62
10/03/2020;50.26
11/03/2020;62.66
12/03/2020;77.86
13/03/2020;68.76
16/03/2020;61
17/03/2020;71.89
18/03/2020;96.65
19/03/2020;88.42
20/03/2020;70.04
23/03/2020;52.05
24/03/2020;71.36
25/03/2020;64.18
26/03/2020;53.63
27/03/2020;68.48
30/03/2020;60.05
31/03/2020;59.3
01/04/2020;64.68
02/04/2020;60.03
03/04/2020;59.36
06/04/2020;53.39
07/04/2020;53.85
08/04/2020;52.56
09/04/2020;53.76
10/04/2020;#N/A
13/04/2020;52.76
14/04/2020;49.49
15/04/2020;54.07
16/04/2020;56.85
17/04/2020;54.6
20/04/2020;41.44
21/04/2020;50.21
22/04/2020;47.27
23/04/2020;43.61
24/04/2020;40.41
27/04/2020;38.03
28/04/2020;37.14
29/04/2020;34.94
30/04/2020;37.05
01/05/2020;39.75
04/05/2020;40.02
05/05/2020;36.9
06/05/2020;36.77
07/05/2020;36.44
08/05/2020;32.22
11/05/2020;32.54
12/05/2020;33.08
13/05/2020;38.98
14/05/2020;37.98
15/05/2020;37.11
18/05/2020;33.99
19/05/2020;34.57
20/05/2020;33.58
21/05/2020;34.36
22/05/2020;33.46
25/05/2020;#N/A
26/05/2020;32.62
27/05/2020;33.1
28/05/2020;33.13
29/05/2020;31.84
01/06/2020;33.4
02/06/2020;31.07
03/06/2020;30.13
04/06/2020;30.8
05/06/2020;30
08/06/2020;29.58
09/06/2020;33.33
10/06/2020;33.93
11/06/2020;45.36
12/06/2020;42.75
15/06/2020;42.03
16/06/2020;40.36
17/06/2020;41.94
18/06/2020;39.55
19/06/2020;40
22/06/2020;40.05
23/06/2020;39.18
