Market;Company;Ticker
JSE;Exchange Traded Funds;STXDIV.JO
JSE;Exchange Traded Funds;STXEME.JO
JSE;Exchange Traded Funds;STXEMG.JO
JSE;Exchange Traded Funds;STXESG.JO
JSE;Exchange Traded Funds;STXFIN.JO
JSE;Exchange Traded Funds;STXGBD.JO
JSE;Exchange Traded Funds;STXGOV.JO
JSE;Exchange Traded Funds;STXID.JO
JSE;Exchange Traded Funds;STXIFR.JO
JSE;Exchange Traded Funds;STXILB.JO
JSE;Exchange Traded Funds;STXIND.JO
JSE;Exchange Traded Funds;STXMMT.JO
JSE;Exchange Traded Funds;STXNDQ.JO
JSE;Exchange Traded Funds;STXPRO.JO
JSE;Exchange Traded Funds;STXQUA.JO
JSE;Exchange Traded Funds;STXRAF.JO
JSE;Exchange Traded Funds;STXRES.JO
JSE;Exchange Traded Funds;STXSWX.JO
JSE;Exchange Traded Funds;STXWDM.JO
JSE;Exchange Traded Notes;SWXTR2.JO
JSE;Exchange Traded Funds;SYG4IR.JO
JSE;Exchange Traded Funds;SYG500.JO
JSE;Exchange Traded Funds;SYGEMF.JO
JSE;Exchange Traded Funds;SYGESG.JO
JSE;Exchange Traded Funds;SYGEU.JO
JSE;Exchange Traded Funds;SYGH.JO
JSE;Exchange Traded Funds;SYGJP.JO
JSE;Exchange Traded Funds;SYGP.JO
JSE;Exchange Traded Funds;SYGSW4.JO
JSE;Exchange Traded Funds;SYGT40.JO
JSE;Exchange Traded Funds;SYGUK.JO
JSE;Exchange Traded Funds;SYGUS.JO
JSE;SAB Zenzele Kabili Holdings (RF) Ltd.;SZK.JO
JSE;Tradehold Ltd.;TDHBP.JO
JSE;Thungela Resources Ltd.;TGA.JO
JSE;Exchange Traded Notes;TOPTR2.JO
JSE;Exchange Traded Notes;TSETNC.JO
JSE;Exchange Traded Notes;TSETNQ.JO
JSE;Exchange Traded Notes;UABCPA.JO
JSE;Exchange Traded Notes;UABSPA.JO
JSE;Exchange Traded Notes;UEFPCA.JO
JSE;Exchange Traded Notes;UEFPCB.JO
JSE;Exchange Traded Notes;UEXGEP.JO
JSE;Exchange Traded Notes;UMMIEA.JO
JSE;Exchange Traded Notes;UMMIEB.JO
JSE;Exchange Traded Notes;UMMIES.JO
JSE;Exchange Traded Notes;UOMWPA.JO
JSE;Exchange Traded Notes;UPCHPA.JO
JSE;Exchange Traded Notes;URETGP.JO
JSE;Exchange Traded Notes;USQCPA.JO
JSE;Exchange Traded Notes;VSETNC.JO
JSE;Exchange Traded Notes;VSETNQ.JO
JSE;Exchange Traded Notes;WWETNC.JO
JSE;Exchange Traded Notes;WWETNQ.JO
